0,World,7.21,billion,9,people,Thanks to Wolfram Alpha
1,China,1.36,billion,9,people,Thanks to Wolfram Alpha
2,India,1.29,billion,9,people,Thanks to Wolfram Alpha
3,United States,322,million,6,people,Thanks to Wolfram Alpha
4,Indonesia,250,million,6,people,Thanks to Wolfram Alpha
5,Brazil,202,million,6,people,Thanks to Wolfram Alpha
6,Pakistan,186,million,6,people,Thanks to Wolfram Alpha
7,Nigeria,175,million,6,people,Thanks to Wolfram Alpha
8,Bangladesh,156,million,6,people,Thanks to Wolfram Alpha
9,Russia,142,million,6,people,Thanks to Wolfram Alpha
10,Japan,126,million,6,people,Thanks to Wolfram Alpha
11,Mexico,119,million,6,people,Thanks to Wolfram Alpha
12,Philippines,99.8,million,6,people,Thanks to Wolfram Alpha
13,Vietnam,91.6,million,6,people,Thanks to Wolfram Alpha
14,Ethiopia,90.2,million,6,people,Thanks to Wolfram Alpha
15,Egypt,86.8,million,6,people,Thanks to Wolfram Alpha
16,Germany,81.6,million,6,people,Thanks to Wolfram Alpha
17,Iran,77.2,million,6,people,Thanks to Wolfram Alpha
18,Turkey,76.2,million,6,people,Thanks to Wolfram Alpha
19,Democratic Republic of the Congo,73.3,million,6,people,Thanks to Wolfram Alpha
20,Thailand,70.6,million,6,people,Thanks to Wolfram Alpha
21,France,64.1,million,6,people,Thanks to Wolfram Alpha
22,United Kingdom,63.6,million,6,people,Thanks to Wolfram Alpha
23,Italy,61.2,million,6,people,Thanks to Wolfram Alpha
24,South Africa,51.2,million,6,people,Thanks to Wolfram Alpha
25,Tanzania,50.7,million,6,people,Thanks to Wolfram Alpha
26,Myanmar,49.5,million,6,people,Thanks to Wolfram Alpha
27,South Korea,49,million,6,people,Thanks to Wolfram Alpha
28,Colombia,48.8,million,6,people,Thanks to Wolfram Alpha
29,Sudan,47.9,million,6,people,Thanks to Wolfram Alpha
30,Spain,47.3,million,6,people,Thanks to Wolfram Alpha
31,Kenya,45.1,million,6,people,Thanks to Wolfram Alpha
32,Ukraine,44.5,million,6,people,Thanks to Wolfram Alpha
33,Argentina,41.8,million,6,people,Thanks to Wolfram Alpha
34,Poland,38.3,million,6,people,Thanks to Wolfram Alpha
35,Uganda,37.9,million,6,people,Thanks to Wolfram Alpha
36,Algeria,37.5,million,6,people,Thanks to Wolfram Alpha
37,Iraq,35.9,million,6,people,Thanks to Wolfram Alpha
38,Afghanistan,35.6,million,6,people,Thanks to Wolfram Alpha
39,Canada,35.3,million,6,people,Thanks to Wolfram Alpha
40,Morocco,33.3,million,6,people,Thanks to Wolfram Alpha
41,Nepal,32.1,million,6,people,Thanks to Wolfram Alpha
42,Venezuela,30.8,million,6,people,Thanks to Wolfram Alpha
43,Peru,30.4,million,6,people,Thanks to Wolfram Alpha
44,Malaysia,30.3,million,6,people,Thanks to Wolfram Alpha
45,Saudi Arabia,29.9,million,6,people,Thanks to Wolfram Alpha
46,Uzbekistan,28.7,million,6,people,Thanks to Wolfram Alpha
47,Yemen,27.2,million,6,people,Thanks to Wolfram Alpha
48,Ghana,26.7,million,6,people,Thanks to Wolfram Alpha
49,Mozambique,25.6,million,6,people,Thanks to Wolfram Alpha
50,North Korea,24.8,million,6,people,Thanks to Wolfram Alpha
51,Australia,23.5,million,6,people,Thanks to Wolfram Alpha
52,Taiwan,23.4,million,6,people,Thanks to Wolfram Alpha
53,Madagascar,23.2,million,6,people,Thanks to Wolfram Alpha
54,Syria,21.8,million,6,people,Thanks to Wolfram Alpha
55,Sri Lanka,21.6,million,6,people,Thanks to Wolfram Alpha
56,Ivory Coast,21.5,million,6,people,Thanks to Wolfram Alpha
57,Cameroon,21.4,million,6,people,Thanks to Wolfram Alpha
58,Romania,21.3,million,6,people,Thanks to Wolfram Alpha
59,Angola,21.3,million,6,people,Thanks to Wolfram Alpha
60,Burkina Faso,18.6,million,6,people,Thanks to Wolfram Alpha
61,Niger,17.9,million,6,people,Thanks to Wolfram Alpha
62,Chile,17.7,million,6,people,Thanks to Wolfram Alpha
63,Mali,17.3,million,6,people,Thanks to Wolfram Alpha
64,Malawi,17,million,6,people,Thanks to Wolfram Alpha
65,Netherlands,16.8,million,6,people,Thanks to Wolfram Alpha
66,Kazakhstan,16.7,million,6,people,Thanks to Wolfram Alpha
67,Guatemala,15.9,million,6,people,Thanks to Wolfram Alpha
68,Ecuador,15.3,million,6,people,Thanks to Wolfram Alpha
69,Cambodia,14.8,million,6,people,Thanks to Wolfram Alpha
70,Zambia,14.8,million,6,people,Thanks to Wolfram Alpha
71,Senegal,13.8,million,6,people,Thanks to Wolfram Alpha
72,Zimbabwe,13.7,million,6,people,Thanks to Wolfram Alpha
73,Chad,12.5,million,6,people,Thanks to Wolfram Alpha
74,Rwanda,12,million,6,people,Thanks to Wolfram Alpha
75,Greece,11.5,million,6,people,Thanks to Wolfram Alpha
76,Cuba,11.2,million,6,people,Thanks to Wolfram Alpha
77,South Sudan,11.1,million,6,people,Thanks to Wolfram Alpha
78,Guinea,11,million,6,people,Thanks to Wolfram Alpha
79,Tunisia,10.9,million,6,people,Thanks to Wolfram Alpha
80,Belgium,10.8,million,6,people,Thanks to Wolfram Alpha
81,Portugal,10.7,million,6,people,Thanks to Wolfram Alpha
82,Czech Republic,10.6,million,6,people,Thanks to Wolfram Alpha
83,Bolivia,10.6,million,6,people,Thanks to Wolfram Alpha
84,Haiti,10.5,million,6,people,Thanks to Wolfram Alpha
85,Dominican Republic,10.4,million,6,people,Thanks to Wolfram Alpha
86,Somalia,10.3,million,6,people,Thanks to Wolfram Alpha
87,Hungary,9.92,million,6,people,Thanks to Wolfram Alpha
88,Benin,9.87,million,6,people,Thanks to Wolfram Alpha
89,Azerbaijan,9.64,million,6,people,Thanks to Wolfram Alpha
90,Sweden,9.6,million,6,people,Thanks to Wolfram Alpha
91,Belarus,9.47,million,6,people,Thanks to Wolfram Alpha
92,Burundi,9.07,million,6,people,Thanks to Wolfram Alpha
93,Austria,8.45,million,6,people,Thanks to Wolfram Alpha
94,United Arab Emirates,8.28,million,6,people,Thanks to Wolfram Alpha
95,Honduras,8.23,million,6,people,Thanks to Wolfram Alpha
96,Israel,7.94,million,6,people,Thanks to Wolfram Alpha
97,Switzerland,7.79,million,6,people,Thanks to Wolfram Alpha
98,Papua New Guinea,7.49,million,6,people,Thanks to Wolfram Alpha
99,Hong Kong,7.35,million,6,people,Thanks to Wolfram Alpha
100,Bulgaria,7.3,million,6,people,Thanks to Wolfram Alpha
101,Tajikistan,7.29,million,6,people,Thanks to Wolfram Alpha
102,Serbia,7.16,million,6,people,Thanks to Wolfram Alpha
103,Paraguay,6.91,million,6,people,Thanks to Wolfram Alpha
104,Jordan,6.68,million,6,people,Thanks to Wolfram Alpha
105,Libya,6.55,million,6,people,Thanks to Wolfram Alpha
106,Laos,6.54,million,6,people,Thanks to Wolfram Alpha
107,Togo,6.54,million,6,people,Thanks to Wolfram Alpha
108,Sierra Leone,6.38,million,6,people,Thanks to Wolfram Alpha
109,El Salvador,6.34,million,6,people,Thanks to Wolfram Alpha
110,Nicaragua,6.13,million,6,people,Thanks to Wolfram Alpha
111,Eritrea,5.91,million,6,people,Thanks to Wolfram Alpha
112,Denmark,5.63,million,6,people,Thanks to Wolfram Alpha
113,Kyrgyzstan,5.56,million,6,people,Thanks to Wolfram Alpha
114,Slovakia,5.5,million,6,people,Thanks to Wolfram Alpha
115,Finland,5.43,million,6,people,Thanks to Wolfram Alpha
116,Singapore,5.34,million,6,people,Thanks to Wolfram Alpha
117,Turkmenistan,5.3,million,6,people,Thanks to Wolfram Alpha
118,Norway,5.02,million,6,people,Thanks to Wolfram Alpha
119,Costa Rica,4.92,million,6,people,Thanks to Wolfram Alpha
120,Central African Republic,4.76,million,6,people,Thanks to Wolfram Alpha
121,Ireland,4.68,million,6,people,Thanks to Wolfram Alpha
122,New Zealand,4.55,million,6,people,Thanks to Wolfram Alpha
123,Liberia,4.45,million,6,people,Thanks to Wolfram Alpha
124,Republic of the Congo,4.42,million,6,people,Thanks to Wolfram Alpha
125,Croatia,4.37,million,6,people,Thanks to Wolfram Alpha
126,Lebanon,4.36,million,6,people,Thanks to Wolfram Alpha
127,Georgia,4.25,million,6,people,Thanks to Wolfram Alpha
128,Mauritania,3.79,million,6,people,Thanks to Wolfram Alpha
129,Puerto Rico,3.74,million,6,people,Thanks to Wolfram Alpha
130,Panama,3.73,million,6,people,Thanks to Wolfram Alpha
131,Bosnia and Herzegovina,3.73,million,6,people,Thanks to Wolfram Alpha
132,Moldova,3.47,million,6,people,Thanks to Wolfram Alpha
133,Uruguay,3.42,million,6,people,Thanks to Wolfram Alpha
134,Lithuania,3.26,million,6,people,Thanks to Wolfram Alpha
135,Albania,3.25,million,6,people,Thanks to Wolfram Alpha
136,Armenia,3.13,million,6,people,Thanks to Wolfram Alpha
137,Kuwait,3.02,million,6,people,Thanks to Wolfram Alpha
138,Oman,3.01,million,6,people,Thanks to Wolfram Alpha
139,Mongolia,2.93,million,6,people,Thanks to Wolfram Alpha
140,Jamaica,2.78,million,6,people,Thanks to Wolfram Alpha
141,West Bank,2.73,million,6,people,Thanks to Wolfram Alpha
142,Namibia,2.44,million,6,people,Thanks to Wolfram Alpha
143,Lesotho,2.26,million,6,people,Thanks to Wolfram Alpha
144,Latvia,2.22,million,6,people,Thanks to Wolfram Alpha
145,Botswana,2.1,million,6,people,Thanks to Wolfram Alpha
146,Macedonia,2.07,million,6,people,Thanks to Wolfram Alpha
147,Slovenia,2.05,million,6,people,Thanks to Wolfram Alpha
148,Qatar,2,million,6,people,Thanks to Wolfram Alpha
149,Gambia,1.92,million,6,people,Thanks to Wolfram Alpha
150,Kosovo,1.86,million,6,people,Thanks to Wolfram Alpha
151,Gaza Strip,1.76,million,6,people,Thanks to Wolfram Alpha
152,Guinea-Bissau,1.65,million,6,people,Thanks to Wolfram Alpha
153,Gabon,1.63,million,6,people,Thanks to Wolfram Alpha
154,Bahrain,1.39,million,6,people,Thanks to Wolfram Alpha
155,Trinidad and Tobago,1.36,million,6,people,Thanks to Wolfram Alpha
156,Estonia,1.34,million,6,people,Thanks to Wolfram Alpha
157,Mauritius,1.33,million,6,people,Thanks to Wolfram Alpha
158,East Timor,1.26,million,6,people,Thanks to Wolfram Alpha
159,Swaziland,1.25,million,6,people,Thanks to Wolfram Alpha
160,Cyprus,1.15,million,6,people,Thanks to Wolfram Alpha
161,Djibouti,958,thousand,3,people,Thanks to Wolfram Alpha
162,Fiji,890,thousand,3,people,Thanks to Wolfram Alpha
163,Réunion,875,thousand,3,people,Thanks to Wolfram Alpha
164,Comoros,813,thousand,3,people,Thanks to Wolfram Alpha
165,Equatorial Guinea,782,thousand,3,people,Thanks to Wolfram Alpha
166,Bhutan,774,thousand,3,people,Thanks to Wolfram Alpha
167,Guyana,761,thousand,3,people,Thanks to Wolfram Alpha
168,Montenegro,634,thousand,3,people,Thanks to Wolfram Alpha
169,Solomon Islands,595,thousand,3,people,Thanks to Wolfram Alpha
170,Macau,590,thousand,3,people,Thanks to Wolfram Alpha
171,Western Sahara,585,thousand,3,people,Thanks to Wolfram Alpha
172,Suriname,543,thousand,3,people,Thanks to Wolfram Alpha
173,Luxembourg,536,thousand,3,people,Thanks to Wolfram Alpha
174,Cape Verde,515,thousand,3,people,Thanks to Wolfram Alpha
175,Guadeloupe,467,thousand,3,people,Thanks to Wolfram Alpha
176,Brunei,427,thousand,3,people,Thanks to Wolfram Alpha
177,Malta,422,thousand,3,people,Thanks to Wolfram Alpha
178,Martinique,409,thousand,3,people,Thanks to Wolfram Alpha
179,Bahamas,359,thousand,3,people,Thanks to Wolfram Alpha
180,Belize,337,thousand,3,people,Thanks to Wolfram Alpha
181,Iceland,336,thousand,3,people,Thanks to Wolfram Alpha
182,Maldives,333,thousand,3,people,Thanks to Wolfram Alpha
183,French Polynesia,282,thousand,3,people,Thanks to Wolfram Alpha
184,Barbados,276,thousand,3,people,Thanks to Wolfram Alpha
185,New Caledonia,266,thousand,3,people,Thanks to Wolfram Alpha
186,Vanuatu,264,thousand,3,people,Thanks to Wolfram Alpha
187,French Guiana,249,thousand,3,people,Thanks to Wolfram Alpha
188,Mayotte,224,thousand,3,people,Thanks to Wolfram Alpha
189,Samoa,187,thousand,3,people,Thanks to Wolfram Alpha
190,Guam,187,thousand,3,people,Thanks to Wolfram Alpha
191,Saint Lucia,181,thousand,3,people,Thanks to Wolfram Alpha
192,São Tomé and Príncipe,179,thousand,3,people,Thanks to Wolfram Alpha
193,Curacao,147,thousand,3,people,Thanks to Wolfram Alpha
194,Micronesia,113,thousand,3,people,Thanks to Wolfram Alpha
195,Saint Vincent and the Grenadines,109,thousand,3,people,Thanks to Wolfram Alpha
196,Aruba,109,thousand,3,people,Thanks to Wolfram Alpha
197,United States Virgin Islands,108,thousand,3,people,Thanks to Wolfram Alpha
198,Grenada,106,thousand,3,people,Thanks to Wolfram Alpha
199,Tonga,106,thousand,3,people,Thanks to Wolfram Alpha
200,Kiribati,104,thousand,3,people,Thanks to Wolfram Alpha
201,Jersey,95.7,thousand,3,people,Thanks to Wolfram Alpha
202,Seychelles,91.7,thousand,3,people,Thanks to Wolfram Alpha
203,Antigua and Barbuda,91.3,thousand,3,people,Thanks to Wolfram Alpha
204,Northern Mariana Islands,88,thousand,3,people,Thanks to Wolfram Alpha
205,Isle of Man,86.2,thousand,3,people,Thanks to Wolfram Alpha
206,Andorra,85.5,thousand,3,people,Thanks to Wolfram Alpha
207,Dominica,73.4,thousand,3,people,Thanks to Wolfram Alpha
208,Marshall Islands,71,thousand,3,people,Thanks to Wolfram Alpha
209,Bermuda,69.8,thousand,3,people,Thanks to Wolfram Alpha
210,Guernsey,65.6,thousand,3,people,Thanks to Wolfram Alpha
211,Greenland,57.7,thousand,3,people,Thanks to Wolfram Alpha
212,Cayman Islands,54.9,thousand,3,people,Thanks to Wolfram Alpha
213,American Samoa,54.7,thousand,3,people,Thanks to Wolfram Alpha
214,Saint Kitts and Nevis,51.5,thousand,3,people,Thanks to Wolfram Alpha
215,Faroe Islands,49.7,thousand,3,people,Thanks to Wolfram Alpha
216,Turks and Caicos Islands,49.1,thousand,3,people,Thanks to Wolfram Alpha
217,Sint Maarten,39.7,thousand,3,people,Thanks to Wolfram Alpha
218,Liechtenstein,37.3,thousand,3,people,Thanks to Wolfram Alpha
219,San Marino,32.7,thousand,3,people,Thanks to Wolfram Alpha
220,Monaco,30.5,thousand,3,people,Thanks to Wolfram Alpha
221,Gibraltar,29.1,thousand,3,people,Thanks to Wolfram Alpha
222,British Virgin Islands,23.8,thousand,3,people,Thanks to Wolfram Alpha
223,Palau,21.2,thousand,3,people,Thanks to Wolfram Alpha
224,Anguilla,16.1,thousand,3,people,Thanks to Wolfram Alpha
225,Wallis and Futuna Islands,15.5,thousand,3,people,Thanks to Wolfram Alpha
226,Tuvalu,10.8,thousand,3,people,Thanks to Wolfram Alpha
227,Cook Islands,10.1,thousand,3,people,Thanks to Wolfram Alpha
228,Nauru,9.49,thousand,3,people,Thanks to Wolfram Alpha
229,"Saint Helena; Ascension and Tristan da Cunha",7.67,thousand,3,people,Thanks to Wolfram Alpha
230,Saint Pierre and Miquelon,5.77,thousand,3,people,Thanks to Wolfram Alpha
231,Montserrat,5.22,thousand,3,people,Thanks to Wolfram Alpha
232,Falkland Islands,2.84,thousand,3,people,Thanks to Wolfram Alpha
233,Svalbard,2.64,thousand,3,people,Thanks to Wolfram Alpha
234,Norfolk Island,2.2,thousand,3,people,Thanks to Wolfram Alpha
235,Niue,1.61,thousand,3,people,Thanks to Wolfram Alpha
236,Christmas Island,1.51,thousand,3,people,Thanks to Wolfram Alpha
237,Tokelau,1.35,thousand,3,people,Thanks to Wolfram Alpha
238,Vatican City,0.84,thousand,3,people,Thanks to Wolfram Alpha
239,Cocos Keeling Islands,0.55,thousand,3,people,Thanks to Wolfram Alpha
240,Pitcairn Islands,0.06,thousand,3,people,Thanks to Wolfram Alpha
